Model,Train Time,Predict Time,Accuracy,Precision,Recall,Specificity,F1 Score,AUC
Decision Tree,0.03525829315185547,0.004049777984619141,0.8432591176068843,0.5465116279069767,0.13994045087196938,0.9777886258237735,0.22282424652895363,0.7805040299325782
Random Forest,0.37082338333129883,0.04618692398071289,0.844488457860948,0.5742971887550201,0.12165036154827732,0.9827516068668131,0.20077220077220076,0.7902355888974933
Naive Bayes,0.012054204940795898,0.003237485885620117,0.7908755634476164,0.38232373386295926,0.49128030625265845,0.8481815962899683,0.4300074460163812,0.7843098495401168
SVM rbf,122.3211407661438,13.257029056549072,0.8414151072257888,0.5573122529644269,0.05997447894512973,0.9908876413635994,0.10829493087557603,0.6589639080180292
SVM sigmoid,89.28563642501831,6.536197185516357,0.7028411419205026,0.06445993031358885,0.06295193534666099,0.825237979009031,0.06369700882289649,0.35617236917552414
SVM poly,625.0798733234406,3.292804479598999,0.8394345034831308,0.0,0.0,1.0,0.0,0.736548212441239
SVM linear,350.52625584602356,3.2062954902648926,0.8394345034831308,0.0,0.0,1.0,0.0,0.7768302521779639
MLP,2.6260128021240234,0.01882481575012207,0.8440786777762601,0.580952380952381,0.10378562313908975,0.9856805792856562,0.17610970768675566,0.7921278138835216
